AutoNum,playerID,birthyear,yearID,salary,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,SF,SH,HBP,IBB
1,abadan01,1972,2006,327000,1,CIN,NL,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,abercre01,1980,2006,327000,1,FLO,NL,111,255,39,54,12,2,5,24,6,5,18,78,2,1,4,3,2
3,abreubo01,1974,2006,13600000,1,PHI,NL,98,339,61,94,25,2,8,65,20,4,91,86,8,6,0,2,5
4,abreubo01,1974,2006,13600000,2,NYA,AL,58,209,37,69,16,0,7,42,10,2,33,52,5,3,2,1,1
5,accarje01,1981,2006,330000,1,SFN,NL,38,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,accarje01,1981,2006,330000,2,TOR,AL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,adamsru01,1980,2006,343000,1,TOR,AL,90,251,31,55,14,1,3,28,1,2,22,41,5,3,3,1,0
8,affelje01,1979,2006,1000000,1,KCA,AL,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,affelje01,1979,2006,1000000,2,COL,NL,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,aguilch01,1979,2006,327000,1,FLO,NL,47,95,5,22,8,1,0,7,2,1,9,26,2,0,0,0,1
11,alfonan01,1972,2006,2750000,1,TEX,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,alfoned01,1973,2006,8000000,1,LAA,AL,18,50,1,5,1,0,0,1,0,0,2,3,1,0,0,0,0
13,alfoned01,1973,2006,8000000,2,TOR,AL,12,37,4,6,1,0,0,4,0,0,5,1,1,0,0,1,0
14,alomasa02,1966,2006,650000,1,LAN,NL,27,62,3,20,5,0,0,9,0,0,0,7,3,0,0,0,0
15,alomasa02,1966,2006,650000,2,CHA,AL,19,46,5,10,3,0,1,8,0,0,3,7,0,2,0,0,0
16,aloumo01,1966,2006,5827974,1,SFN,NL,98,345,52,104,25,1,22,74,2,1,28,31,15,4,0,1,2
17,amezaal01,1978,2006,340000,1,FLO,NL,132,334,42,87,9,3,3,19,20,12,33,46,5,1,7,3,4
18,anderbr03,1982,2006,330000,1,CHA,AL,134,365,46,82,23,1,8,33,4,7,30,90,3,3,2,5,2
19,anderga01,1972,2006,10600000,1,LAA,AL,141,543,63,152,28,2,17,85,1,0,38,95,8,7,0,0,11
20,anderma02,1974,2006,925000,1,WAS,NL,109,215,31,59,13,2,5,23,2,4,18,41,1,2,3,1,1
21,anderma02,1974,2006,925000,2,LAN,NL,25,64,12,24,3,2,7,15,2,2,7,8,3,1,1,0,0
22,aquingr01,1978,2006,342000,1,ARI,NL,42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,ardoida01,1974,2006,335000,1,COL,NL,35,109,12,21,5,1,0,2,0,0,8,27,2,0,1,2,2
24,ardoida01,1974,2006,335000,2,BAL,AL,5,13,2,1,0,0,0,1,0,0,1,6,1,0,0,1,0
25,armasto02,1978,2006,2100000,1,WAS,NL,30,50,1,3,0,0,0,1,0,0,1,21,2,0,5,0,0
26,arroybr01,1977,2006,3000000,1,CIN,NL,35,81,5,9,3,0,2,6,0,0,3,31,1,0,10,0,0
27,astacpe01,1968,2006,750000,1,WAS,NL,17,25,2,5,0,0,0,0,0,0,0,8,0,0,7,2,0
28,atkinga01,1979,2006,335000,1,COL,NL,157,602,117,198,48,1,29,120,4,0,79,76,24,7,0,7,6
29,aurilri01,1971,2006,1300000,1,CIN,NL,122,440,61,132,25,1,23,70,3,0,34,51,10,4,2,1,1
30,backebr01,1978,2006,442500,1,HOU,NL,9,14,0,2,0,0,0,0,0,0,1,6,1,0,0,0,0
31,baezda01,1977,2006,4000000,1,LAN,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,baezda01,1977,2006,4000000,2,ATL,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,bakersc02,1981,2006,330000,1,MIN,AL,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
34,bakopa01,1972,2006,700000,1,KCA,AL,56,153,7,32,3,0,0,10,0,0,11,46,3,1,2,0,0
35,baldero01,1981,2006,2000000,1,TBA,AL,92,364,59,110,24,6,16,57,10,1,14,70,2,2,0,7,1
36,bannibr01,1981,2006,327000,1,NYN,NL,8,12,2,4,3,0,0,2,0,0,0,3,0,0,1,0,0
37,barajro01,1975,2006,3200000,1,TEX,AL,97,344,49,88,20,0,11,41,0,0,17,51,9,1,5,4,0
38,bardjo01,1978,2006,353400,1,BOS,AL,7,18,2,5,1,0,0,0,0,0,3,3,0,0,0,0,0
39,bardjo01,1978,2006,353400,2,SDN,NL,93,231,28,78,19,0,9,40,1,0,27,39,9,2,2,1,1
40,barfijo02,1982,2006,327000,1,SDN,NL,150,539,72,151,32,3,13,58,21,5,30,81,8,5,2,2,7
41,barmecl01,1979,2006,335000,1,COL,NL,131,478,57,105,26,4,7,56,5,4,22,72,2,7,19,9,6
42,barremi01,1976,2006,4333333,1,CHN,NL,107,375,54,115,25,3,16,53,0,1,33,41,12,3,2,5,2
43,batismi01,1971,2006,4750000,1,ARI,NL,34,60,3,6,1,0,0,4,0,0,2,31,2,1,9,0,0
44,batisto01,1973,2006,1250000,1,MIN,AL,50,178,24,42,12,0,5,21,0,1,15,27,5,0,0,2,1
45,bautide01,1982,2006,335500,1,KCA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,bautide01,1982,2006,335500,2,COL,NL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,bayja01,1978,2006,1000000,1,PIT,NL,159,570,101,163,29,3,35,109,11,2,102,156,15,9,0,8,9
48,beckejo02,1980,2006,4325000,1,BOS,AL,33,7,2,3,0,0,1,3,0,0,0,2,0,0,0,0,0
49,bedarer01,1979,2006,1400000,1,BAL,AL,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,belisma01,1980,2006,343500,1,CIN,NL,30,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
51,bellda01,1972,2006,4700000,1,PHI,NL,92,324,39,90,17,2,6,34,1,0,32,38,11,3,3,3,2
52,bellda01,1972,2006,4700000,2,MIL,NL,53,180,21,46,10,2,4,29,2,1,18,30,7,2,0,1,1
53,bellhma01,1974,2006,800000,1,SDN,NL,115,253,26,48,11,2,8,27,0,0,32,90,3,1,0,2,0
54,belliro01,1975,2006,4000000,1,CLE,AL,93,350,43,102,21,0,8,44,2,0,21,45,8,2,2,4,0
55,belliro01,1975,2006,4000000,2,SLN,NL,54,194,20,46,9,1,5,23,0,3,15,36,9,0,1,1,2
56,beltrad01,1979,2006,12900000,1,SEA,AL,156,620,88,166,39,4,25,89,11,5,47,118,15,3,1,10,4
57,beltrca01,1977,2006,13571428,1,NYN,NL,140,510,127,140,38,1,41,116,18,3,95,99,6,7,1,4,6
58,benitar01,1972,2006,6271206,1,SFN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
